Tip pomoŝi,Kategorija,Mesjac,God,Količestvo
Postavleno na učët,Statistika,7,2017,
Postavleno na učët,Statistika,8,2017,18
Postavleno na učët,Statistika,9,2017,22
Postavleno na učët,Statistika,10,2017,22
Postavleno na učët,Statistika,11,2017,20
Postavleno na učët,Statistika,12,2017,13
Postavleno na učët,Statistika,1,2018,10
Postavleno na učët,Statistika,2,2018,17
Postavleno na učët,Statistika,3,2018,19
Postavleno na učët,Statistika,4,2018,27
Postavleno na učët,Statistika,5,2018,9
Postavleno na učët,Statistika,6,2018,15
Nevrolog,Vizity,7,2018,6
Nevrolog,Vizity,8,2017,6
Nevrolog,Vizity,9,2017,7
Nevrolog,Vizity,10,2017,10
Nevrolog,Vizity,11,2017,5
Nevrolog,Vizity,12,2017,3
Nevrolog,Vizity,1,2018,15
Nevrolog,Vizity,2,2018,12
Nevrolog,Vizity,3,2018,12
Nevrolog,Vizity,4,2018,13
Nevrolog,Vizity,5,2018,16
Nevrolog,Vizity,6,2018,13
Nevrolog,Vizity,7,2018,7
Specialist po respiratornoj podderžke,Vizity,7,2017,3
Specialist po respiratornoj podderžke,Vizity,8,2017,
Specialist po respiratornoj podderžke,Vizity,9,2017,4
Specialist po respiratornoj podderžke,Vizity,10,2017,5
Specialist po respiratornoj podderžke,Vizity,11,2017,4
Specialist po respiratornoj podderžke,Vizity,12,2017,5
Specialist po respiratornoj podderžke,Vizity,1,2018,6
Specialist po respiratornoj podderžke,Vizity,2,2018,8
Specialist po respiratornoj podderžke,Vizity,3,2018,5
Specialist po respiratornoj podderžke,Vizity,4,2018,8
Specialist po respiratornoj podderžke,Vizity,5,2018,16
Specialist po respiratornoj podderžke,Vizity,6,2018,3
Specialist po respiratornoj podderžke,Vizity,7,2018,3
Reanimatolog,Vizity,7,2017,2
Reanimatolog,Vizity,8,2017,3
Reanimatolog,Vizity,9,2017,2
Reanimatolog,Vizity,10,2017,2
Reanimatolog,Vizity,11,2017,2
Reanimatolog,Vizity,12,2017,1
Reanimatolog,Vizity,1,2018,2
Reanimatolog,Vizity,2,2018,1
Reanimatolog,Vizity,3,2018,0
Reanimatolog,Vizity,4,2018,2
Reanimatolog,Vizity,5,2018,0
Reanimatolog,Vizity,6,2018,1
Reanimatolog,Vizity,7,2018,1
Fizičeskie terapevty,Vizity,7,2017,11
Fizičeskie terapevty,Vizity,8,2017,18
Fizičeskie terapevty,Vizity,9,2017,19
Fizičeskie terapevty,Vizity,10,2017,19
Fizičeskie terapevty,Vizity,11,2017,17
Fizičeskie terapevty,Vizity,12,2017,18
Fizičeskie terapevty,Vizity,1,2018,14
Fizičeskie terapevty,Vizity,2,2018,17
Fizičeskie terapevty,Vizity,3,2018,19
Fizičeskie terapevty,Vizity,4,2018,29
Fizičeskie terapevty,Vizity,5,2018,28
Fizičeskie terapevty,Vizity,6,2018,36
Fizičeskie terapevty,Vizity,7,2018,26
Medicinskie sëstry,Vizity,7,2017,36
Medicinskie sëstry,Vizity,8,2017,33
Medicinskie sëstry,Vizity,9,2017,45
Medicinskie sëstry,Vizity,10,2017,9
Medicinskie sëstry,Vizity,11,2017,24
Medicinskie sëstry,Vizity,12,2017,34
Medicinskie sëstry,Vizity,1,2018,71
Medicinskie sëstry,Vizity,2,2018,55
Medicinskie sëstry,Vizity,3,2018,62
Medicinskie sëstry,Vizity,4,2018,75
Medicinskie sëstry,Vizity,5,2018,66
Medicinskie sëstry,Vizity,6,2018,67
Medicinskie sëstry,Vizity,7,2018,53
Patronažnaja sestra,Vizity,7,2017,11
Patronažnaja sestra,Vizity,8,2017,17
Patronažnaja sestra,Vizity,9,2017,23
Patronažnaja sestra,Vizity,10,2017,15
Patronažnaja sestra,Vizity,11,2017,20
Patronažnaja sestra,Vizity,12,2017,11
Patronažnaja sestra,Vizity,1,2018,5
Patronažnaja sestra,Vizity,2,2018,11
Patronažnaja sestra,Vizity,3,2018,13
Patronažnaja sestra,Vizity,4,2018,10
Patronažnaja sestra,Vizity,5,2018,14
Patronažnaja sestra,Vizity,6,2018,15
Patronažnaja sestra,Vizity,7,2018,10
Koordinatory,Vizity,7,2017,3
Koordinatory,Vizity,8,2017,5
Koordinatory,Vizity,9,2017,9
Koordinatory,Vizity,10,2017,8
Koordinatory,Vizity,11,2017,10
Koordinatory,Vizity,12,2017,9
Koordinatory,Vizity,1,2018,46
Koordinatory,Vizity,2,2018,5
Koordinatory,Vizity,3,2018,14
Koordinatory,Vizity,4,2018,37
