Тип помощи	Категория	Месяц	Год	Количество
Поставлено на учёт	Статистика	7	2017	
Поставлено на учёт	Статистика	8	2017	18
Поставлено на учёт	Статистика	9	2017	22
Поставлено на учёт	Статистика	10	2017	22
Поставлено на учёт	Статистика	11	2017	20
Поставлено на учёт	Статистика	12	2017	13
Поставлено на учёт	Статистика	1	2018	10
Поставлено на учёт	Статистика	2	2018	17
Поставлено на учёт	Статистика	3	2018	19
Поставлено на учёт	Статистика	4	2018	27
Поставлено на учёт	Статистика	5	2018	9
Поставлено на учёт	Статистика	6	2018	15
Невролог	Визиты	7	2018	6
Невролог	Визиты	8	2017	6
Невролог	Визиты	9	2017	7
Невролог	Визиты	10	2017	10
Невролог	Визиты	11	2017	5
Невролог	Визиты	12	2017	3
Невролог	Визиты	1	2018	15
Невролог	Визиты	2	2018	12
Невролог	Визиты	3	2018	12
Невролог	Визиты	4	2018	13
Невролог	Визиты	5	2018	16
Невролог	Визиты	6	2018	13
Невролог	Визиты	7	2018	7
Специалист по респираторной поддержке	Визиты	7	2017	3
Специалист по респираторной поддержке	Визиты	8	2017	
Специалист по респираторной поддержке	Визиты	9	2017	4
Специалист по респираторной поддержке	Визиты	10	2017	5
Специалист по респираторной поддержке	Визиты	11	2017	4
Специалист по респираторной поддержке	Визиты	12	2017	5
Специалист по респираторной поддержке	Визиты	1	2018	6
Специалист по респираторной поддержке	Визиты	2	2018	8
Специалист по респираторной поддержке	Визиты	3	2018	5
Специалист по респираторной поддержке	Визиты	4	2018	8
Специалист по респираторной поддержке	Визиты	5	2018	16
Специалист по респираторной поддержке	Визиты	6	2018	3
Специалист по респираторной поддержке	Визиты	7	2018	3
Реаниматолог	Визиты	7	2017	2
Реаниматолог	Визиты	8	2017	3
Реаниматолог	Визиты	9	2017	2
Реаниматолог	Визиты	10	2017	2
Реаниматолог	Визиты	11	2017	2
Реаниматолог	Визиты	12	2017	1
Реаниматолог	Визиты	1	2018	2
Реаниматолог	Визиты	2	2018	1
Реаниматолог	Визиты	3	2018	0
Реаниматолог	Визиты	4	2018	2
Реаниматолог	Визиты	5	2018	0
Реаниматолог	Визиты	6	2018	1
Реаниматолог	Визиты	7	2018	1
Физические терапевты	Визиты	7	2017	11
Физические терапевты	Визиты	8	2017	18
Физические терапевты	Визиты	9	2017	19
Физические терапевты	Визиты	10	2017	19
Физические терапевты	Визиты	11	2017	17
Физические терапевты	Визиты	12	2017	18
Физические терапевты	Визиты	1	2018	14
Физические терапевты	Визиты	2	2018	17
Физические терапевты	Визиты	3	2018	19
Физические терапевты	Визиты	4	2018	29
Физические терапевты	Визиты	5	2018	28
Физические терапевты	Визиты	6	2018	36
Физические терапевты	Визиты	7	2018	26
Медицинские сёстры	Визиты	7	2017	36
Медицинские сёстры	Визиты	8	2017	33
